,speed,kmh,yaw,rad,pirad,Fuzzy Value
0,speed,kmh,yaw,rad,pirad,0.0
298,1.14E+01,40.9680004,187.9914593,3.28082826,1.044849764,0.8238095238095238
299,1.16E+01,41.8319996,184.9816562,3.228301155,1.028121387,0.8238095238095238
300,1.16E+01,41.93999863,187.1294295,3.26578411,1.040058634,0.8238095238095238
301,1.18E+01,42.55199888,185.2483153,3.232954892,1.029603469,0.8238095238095238
302,1.15E+01,41.29200097,169.2761542,2.954208625,0.940830772,0.7403846969228202
303,1.20E+01,43.30799903,145.4865481,2.539032253,0.808608998,0.5713593965649071
304,1.20E+01,43.30799903,159.8958124,2.790502834,0.88869517,0.6716150802465212
305,1.20E+01,43.12799834,149.6183819,2.611141045,0.831573581,0.5996446091140664
306,1.22E+01,43.88399849,146.9825554,2.565140583,0.816923753,0.5815691922402816
307,1.23E+01,44.31600151,141.7051416,2.47303912,0.787592077,0.5456767944697062
308,1.23E+01,44.24399986,140.7857414,2.456993742,0.782482083,0.5394535589762509
309,1.24E+01,44.63999863,138.9505324,2.424965661,0.772282058,0.5270491019361434
310,1.25E+01,45.10799903,134.8370558,2.353177239,0.749419503,0.4992956634007424
311,1.25E+01,45.07200166,135.305683,2.361355724,0.752024116,0.5024559375565102
312,1.23E+01,44.38799971,130.5910256,2.27907549,0.72582022,0.47064456503027574
313,1.22E+01,44.02799834,185.1609109,3.23142951,1.029117678,0.8238095238095238
314,1.18E+01,42.55199888,165.9973251,2.896986476,0.922607158,0.7159263474966615
315,1.15E+01,41.54399986,168.8080252,2.946038834,0.938228928,0.7368617046169709
316,1.15E+01,41.54399986,167.8961495,2.930124773,0.933160756,0.7300295644814548
317,1.15E+01,41.4,176.0558355,3.07252767,0.978511997,0.7927167009751577
318,1.11E+01,40.0680004,177.0866245,3.090517007,0.984241085,0.8009098517536616
319,1.11E+01,39.85199888,200.0291852,3.490910736,1.111755012,0.8234769365237418
320,1.11E+01,39.96000137,200.7458192,3.503417438,1.115738038,0.8237197061040546
321,1.10E+01,39.67200166,203.499389,3.551472757,1.131042279,0.8230715359922357
322,1.11E+01,40.10400122,200.8656146,3.505508108,1.116403856,0.8238095238095238
323,1.12E+01,40.39200097,206.4512392,3.602988468,1.147448557,0.8238095238095238
324,1.11E+01,40.10400122,207.6876998,3.624567187,1.15432076,0.8238095238095238
